[From a rope 11 m long; two pieces of lengths 13/5 m and 33/10 m are cut off. What is the length of the remaining rope?, 180, 120], [51/10 m, 10, 1], [39/10 m, -10, 0], [27/10 m, -10, 0], [15/10 m, -10, 0]
[Solve: (5/8)^-1, 180, 120], [A) 8/5, 10, 1], [B) 1.25, -10, 0], [C) 0.625, -10, 0], [D) 1.6, -10, 0]
[Solve: (-4/9)^-1, 180, 120], [A) -9/4, 10, 1], [B) -0.4444, -10, 0], [C) 0.4444, -10, 0], [D) -0.1111, -10, 0]
[Solve: (-7)^-1, 180, 120], [A) -1/7, 10, 1], [B) -7, -10, 0], [C) 1/7, -10, 0], [D) 7, -10, 0]
[Solve: (1/-3)^-1, 180, 120], [A) -3, 10, 1], [B) -1/3, -10, 0], [C) 3, -10, 0], [D) 1/3, -10, 0]
[Solve: 3/5 × (-7)/8., 180, 120], [A) -21/40, 10, 1], [B) 21/40, -10, 0], [C) -3/8, -10, 0], [D) 3/8, -10, 0]
[Solve: (-9)/2 × 5/4., 180, 120], [A) -45/8, 10, 1], [B) 45/8, -10, 0], [C) -15/4, -10, 0], [D) 15/4, -10, 0]
[Solve: (-6)/11 × 5/3., 180, 120], [A) 10/11, 10, 1], [B) -10/11, -10, 0], [C) 15/33, -10, 0], [D) -15/33, -10, 0]
[Solve: (-2)/3 × 6/7., 180, 120], [A) -4/7, 10, 1], [B) 4/7, -10, 0], [C) -12/21, -10, 0], [D) 12/21, -10, 0]
[Solve: (-12)/5 × 10/-3., 180, 120], [A) 8, 10, 1], [B) -8, -10, 0], [C) 40/15, -10, 0], [D) -40/15, -10, 0] 
[Solve: 25/-9 × 3/-10., 180, 120], [A) 5/8, 10, 1], [B) -5/8, -10, 0], [C) -75/90, -10, 0], [D) 75/90, -10, 0] 
[Solve: 5/-18 × -9/20., 180, 120], [A) 1/8, 10, 1], [B) -1/8, -10, 0], [C) -45/360, -10, 0], [D) 45/360, -10, 0] 
[Solve: (-13)/15 × (-25)/26., 180, 120], [A) 5/6, 10, 1], [B) -5/6, -10, 0], [C) 325/390, -10, 0], [D) -325/390, -10, 0] 
[Solve: 16/-21 × 14/5., 180, 120], [A) -32/15, 10, 1], [B) 32/15, -10, 0], [C) -224/105, -10, 0], [D) 224/105, -10, 0]
[Solve: (-7)/6 × 24., 180, 120], [A) -28, 10, 1], [B) 28, -10, 0], [C) -168/6, -10, 0], [D) 168/8, -10, 0]
[Solve: 7/24 × (-48)., 180, 120], [A) -14, 10, 1], [B) 14, -10, 0], [C) -336/24, -10, 0], [D) 336/24, -10, 0]
[Solve: (-13)/5 × (-10)., 180, 120], [A) 26, 10, 1], [B) -26, -10, 0], [C) 130/5, -10, 0], [D) -130/5, -10, 0]
[Simplify the following and express the result as a rational number: -16/21 × 14/5., 180, 120], [A) -32/15, 10, 1], [B) -112/105, -10, 0], [C) -224/105, -10, 0], [D) -16/15, -10, 0]
[Simplify the following and express the result as a rational number: 7/6 × -3/28., 180, 120], [A) -1/8, 10, 1], [B) -7/24, -10, 0], [C) -1/24, -10, 0], [D) -1/6, -10, 0]
[Simplify the following and express the result as a rational number: -19/36 × 16., 180, 120], [A) -76/9, 10, 1], [B) -38/9, -10, 0], [C) -19/18, -10, 0], [D) -152/9, -10, 0]
[Simplify the following and express the result as a rational number: -13/9 × 27/-26, 180, 120], [A)3/2, 10, 1], [B) -9/2, -10, 0], [C) 13/18, -10, 0], [D) -13/18, -10, 0]
[The product of two rational numbers is 15. If one of the numbers is -10, find the other., 180, 120], [A) -3/2, 10, 1], [B) 3/2, -10, 0], [C) 5/3, -10, 0], [D) 1/2, -10, 0]
[The product of two rational numbers is -9. If one of the numbers is -12; find the other., 180, 120], [A) 3/4, 10, 1], [B) -3/4, -10, 0], [C) 4/3, -10, 0], [D) -4/3, -10, 0]
[The product of two rational numbers is -16/9. If one of the numbers is -4/3, find the other., 180, 120], [A) 4/3, 10, 1], [B) -4/3, -10, 0], [C) 2/3, -10, 0], [D) -2/3, -10, 0]
[By what rational number should we multiply -15/56 to get -5/7?, 180, 120], [A) 8/3, 10, 1], [B) -8/3, -10, 0], [C) -3/8, -10, 0], [D) 3/8, -10, 0]
[By what rational number should -8/39 be multiplied to obtain 1/26?, 180, 120], [A) -3/16, 10, 1], [B) 3/16, -10, 0], [C) -26/8, -10, 0], [D) 26/8, -10, 0]
[By what number should -33/8 be divided to get -11/2?, 180, 120], [A) 3/4, 10, 1], [B) -3/4, -10, 0], [C) -2/11, -10, 0], [D) 2/11, -10, 0]
[The product of two rational numbers is -8/9. If one of the numbers is -4/15; find the other., 180, 120], [A) 10/3, 10, 1], [B) -10/3, -10, 0], [C) 3/10, -10, 0], [D) -3/10, -10, 0]
[By what number should we multiply -⅙; so that the product may be -23/9?, 180, 120], [A) 46/3, 10, 1], [B) -46/3, -10, 0], [C) -9/46, -10, 0], [D) 9/46, -10, 0]
[By what number should -33/16 be divided to get -11/4?, 180, 120], [A) 3/4, 10, 1], [B) -3/4, -10, 0], [C) -4/11, -10, 0], [D) 4/11, -10, 0]
[Fill in the blanks: 9/8 ÷ (_____) = -3/2, 180, 120], [A) -3/4, 10, 1], [B) -5/4, -10, 0], [C) -2/3, -10, 0], [D) -1/3, -10, 0]
[Fill in the blanks:9/8 ÷ (_____) = -171/112., 180, 120], [A) -14/19, 10, 1], [B) -9/14, -10, 0], [C) -19/14, -10, 0], [D) -14/9, -10, 0]
[Fill in the blanks: 9/8 ÷ (_____) = 45/32, 180, 120], [A) 4/5, 10, 1], [B) 5/4, -10, 0], [C) 16/15, -10, 0], [D) 15/16, -10, 0]
[Fill in the blanks:9/8 ÷ (_____) = 9/80., 180, 120], [A) 10, 10, 1], [B) -10/3, -10, 0], [C) 8/3, -10, 0], [D) -8/3, -10, 0]
[The product of two rational numbers is -8/9. If one of the numbers is -4/15; find the other., 180, 120], [A) 10/3, 10, 1], [B) -10/3, -10, 0], [C) 3/10, -10, 0], [D) -3/10, -10, 0]
[By what number should we multiply -⅙; so that the product may be -23/9?, 180, 120], [A) 46/3, 10, 1], [B) -46/3, -10, 0], [C) -9/46, -10, 0], [D) 9/46, -10, 0]
[By what number should -33/16 be divided to get -11/4?, 180, 120], [A) 3/4, 10, 1], [B) -3/4, -10, 0], [C) -4/11, -10, 0], [D) 4/11, -10, 0]
[Fill in the blanks: 9/8 ÷ (_____) = -3/2, 180, 120], [A) -3/4, 10, 1], [B) -5/4, -10, 0], [C) -2/3, -10, 0], [D) -1/3, -10, 0]
[Fill in the blanks:9/8 ÷ (_____) = -171/112., 180, 120], [A) -14/19, 10, 1], [B) -9/14, -10, 0], [C) -19/14, -10, 0], [D) -14/9, -10, 0]
[Fill in the blanks: 9/8 ÷ (_____) = 45/32, 180, 120], [A) 4/5, 10, 1], [B) 5/4, -10, 0], [C) 16/15, -10, 0], [D) 15/16, -10, 0]
